Name,Count,Rank,Percent,Overall_Rank,Total_Count
BRUCE,54714,541,0.022,541,54714
LANG,52227,542,0.021,542,52227
COMBS,52227,543,0.021,543,52227
KRAMER,52227,544,0.021,544,52227
HEATH,52227,545,0.021,545,52227
HANCOCK,52227,546,0.021,546,52227
GALLAGHER,52227,547,0.021,547,52227
GAINES,52227,548,0.021,548,52227
SHAFFER,52227,549,0.021,549,52227
SHORT,52227,550,0.021,550,52227
WIGGINS,52227,551,0.021,551,52227
MATHEWS,52227,552,0.021,552,52227
MCCLAIN,52227,553,0.021,553,52227
FISCHER,52227,554,0.021,554,52227
WALL,52227,555,0.021,555,52227
SMALL,52227,556,0.021,556,52227
MELTON,52227,557,0.021,557,52227
HENSLEY,52227,558,0.021,558,52227
BOND,52227,559,0.021,559,52227
DYER,52227,560,0.021,560,52227
CAMERON,52227,561,0.021,561,52227
GRIMES,52227,562,0.021,562,52227
CONTRERAS,52227,563,0.021,563,52227
CHRISTIAN,52227,564,0.021,564,52227
WYATT,52227,565,0.021,565,52227
BAXTER,52227,566,0.021,566,52227
SNOW,52227,567,0.021,567,52227
MOSLEY,52227,568,0.021,568,52227
SHEPHERD,52227,569,0.021,569,52227
LARSEN,52227,570,0.021,570,52227
HOOVER,52227,571,0.021,571,52227
BEASLEY,49740,572,0.02,572,49740
GLENN,49740,573,0.02,573,49740
PETERSEN,49740,574,0.02,574,49740
WHITEHEAD,49740,575,0.02,575,49740
MEYERS,49740,576,0.02,576,49740
KEITH,49740,577,0.02,577,49740
GARRISON,49740,578,0.02,578,49740
VINCENT,49740,579,0.02,579,49740
SHIELDS,49740,580,0.02,580,49740
HORN,49740,581,0.02,581,49740
SAVAGE,49740,582,0.02,582,49740
OLSEN,49740,583,0.02,583,49740
SCHROEDER,49740,584,0.02,584,49740
HARTMAN,49740,585,0.02,585,49740
WOODARD,49740,586,0.02,586,49740
MUELLER,49740,587,0.02,587,49740
KEMP,49740,588,0.02,588,49740
DELEON,49740,589,0.02,589,49740
BOOTH,49740,590,0.02,590,49740
PATEL,49740,591,0.02,591,49740
CALHOUN,49740,592,0.02,592,49740
WILEY,49740,593,0.02,593,49740
EATON,49740,594,0.02,594,49740
CLINE,49740,595,0.02,595,49740
NAVARRO,49740,596,0.02,596,49740
HARRELL,49740,597,0.02,597,49740
LESTER,49740,598,0.02,598,49740
HUMPHREY,49740,599,0.02,599,49740
PARRISH,49740,600,0.02,600,49740
