Name,Count,Rank,Percent,Overall_Rank,Total_Count
EDEN,6242,3760,88.4,4597,7062
HUME,6239,3761,92.8,4801,6724
BONDS,6236,3762,48.9,2600,12763
SPURGEON,6236,3762,90.3,4688,6909
CASSELL,6235,3764,85.6,4485,7280
FREDERICKS,6234,3765,83.3,4386,7486
LAPP,6234,3765,97.2,5018,6415
MARTINDALE,6230,3767,89.4,4651,6970
WHITMIRE,6225,3768,88.7,4620,7017
RUBINO,6225,3768,93.1,4819,6687
SOPER,6225,3768,96.1,4976,6479
KESTER,6223,3771,95.1,4935,6543
MULCAHY,6223,3771,96.6,4995,6444
BATTEN,6222,3773,85.6,4492,7267
CANTWELL,6222,3773,96,4977,6478
DURAND,6221,3775,77.8,4096,7999
KNOTTS,6215,3776,88.2,4606,7044
MCMASTER,6214,3777,93.8,4869,6623
BUXTON,6213,3778,85.2,4477,7293
MCGINLEY,6212,3779,96.5,5000,6435
HARTZELL,6211,3780,97.2,5039,6389
DUBOSE,6210,3781,50.2,2682,12377
COLES,6208,3782,45.5,2431,13641
HILDRETH,6208,3782,85,4468,7302
BRUSH,6207,3784,94.6,4919,6561
SPOONER,6203,3785,86,4524,7209
BRUMLEY,6194,3786,90.8,4754,6820
PAPE,6193,3787,96.6,5021,6412
OAKS,6192,3788,88.7,4646,6982
SHANE,6187,3789,88.5,4637,6991
COPLEY,6187,3789,95.4,4973,6485
WAMPLER,6187,3789,96.7,5029,6401
RATHBUN,6186,3792,96.1,4997,6438
SPIRES,6184,3793,86.2,4541,7172
SARVER,6184,3793,94.8,4942,6526
MUSSELMAN,6184,3793,97,5047,6375
FRIED,6180,3796,96,5000,6435
RAMSAY,6178,3797,81.7,4347,7561
STOCKWELL,6177,3798,94.9,4959,6509
DARR,6176,3799,94,4916,6568
VANDENBERG,6176,3799,96.6,5035,6395
WESSEL,6169,3801,96.5,5038,6394
KWIATKOWSKI,6169,3801,97.3,5075,6342
LARGE,6168,3803,92,4813,6702
MINTER,6166,3804,62.7,3336,9828
DALRYMPLE,6163,3805,92.3,4826,6674
DAMATO,6162,3806,94.5,4945,6521
BUELL,6162,3806,95.4,4985,6462
WINGATE,6160,3808,74.9,3968,8221
